"study_id","first_author","year","journal","country","doi","study_design","sample_size","mean_age","exposure_category","exposure_variable","exposure_type","clock_type","EAA_metric","effect_type","effect_value","CI_lower","CI_upper","SE","p_value","adjusted_model","covariates","conversion_method","yi","sei"
"nihms-1917174","Sumner","2023","Psychoneuroendocrinology","USA","10.1016/j.psyneuen.2023.106058","longitudinal","171.0","12.5","Stressful Life Events","Objective SLE impact score (sum of severity ratings of past-year stressful life events)","psychosocial stress","Horvath epigenetic clock","rate of change in epigenetic age per calendar year","standardized beta","0.21","0.0","0.08","","0.043","Adjusted for baseline chronological age, sex, race/ethnicity, average family income-to-needs ratio","baseline chronological age, sex, race/ethnicity, average family income-to-needs ratio; sensitivity analyses additionally adjusted for lifetime threat-related early life adversity and epithelial (buccal) cell proportions","Rate of change calculated as (follow-up epigenetic age - baseline epigenetic age) / time between assessments in years","0.04",""
"nihms-1937864","Wenli Ni","2023","Environment International","Germany","10.1016/j.envint.2023.108109","longitudinal population-based cohort","2617.0","59.8","Air temperature","4-week and 8-week moving average air temperature; annual average air temperature","Medium- and long-term exposure","HorvathAA; HannumAA; PhenoAA; GrimAA; SkinBloodAA","Epigenetic age acceleration (difference between epigenetic age and chronological age)","Change in epigenetic age acceleration (years)","2.24","1.95","2.53","","0.001","Adjusted for chronological age, sex, education, BMI, alcohol consumption, smoking status, physical activity, season of blood draw, estimated cell types, chip, day of week, time trend, relative humidity; additionally adjusted for air pollutants in sensitivity analyses","chronological age, sex, education, BMI, alcohol consumption, smoking status, physical activity, season, estimated cell types (monocytes, B Cells, CD4 T cells, CD8 T cells, natural killer cells), chip, day of week, time trend, relative humidity","Epigenetic age acceleration calculated as difference between epigenetic age and chronological age using DNA methylation data processed by New DNA Methylation Age Calculator","2.24",""
"nihms-1940244","Laubach","2024","Annals of Epidemiology","USA","10.1016/j.annepidem.2023.10.003","prospective cohort","205.0","29.8","maternal social experiences","maternal experiences of racial bias or discrimination (EOD score categorized as none=0, moderate=1–2, high=3+)","psychosocial","Horvath’s Pan-Tissue clock; Horvath’s Skin & Blood clock; Intrinsic Epigenetic Age Acceleration (IEAA) clock","epigenetic age acceleration (residuals of epigenetic age regressed on chronological age)","mean difference in years of EAA","-0.69","-1.23","-0.13","","0.1","Model 1: adjusted for maternal prenatal smoking and child sex","maternal prenatal smoking, child sex; Model 2 additionally adjusted for EAA at birth","","-0.69",""
"nihms-1943037","Koenigsberg","2023","Environment International","USA","10.1016/j.envint.2023.108270","cross-sectional analysis within a prospective cohort","4126.0","","Air pollution","PM2.5, PM10, NO2","annual average outdoor residential exposure","DunedinPACE; GrimAgeAccel; PhenoAgeAccel; Horvath IEAA; Hannum EEAA; Skin & Blood EAA","GrimAgeAccel and DunedinPACE (primary); PhenoAgeAccel (primary); Horvath IEAA, Hannum EEAA, SBEAA (secondary)","beta coefficient (years or unit change in epigenetic age acceleration)","1.09","0.16","2.03","","0.05","sampling-weighted multivariable linear regression adjusted for DNA methylation array, chronological age, race/ethnicity, education, BMI, physical activity, smoking status, pack-years, region, area deprivation index","DNA methylation array (450K, EPIC), chronological age, race/ethnicity (Black, NHW), education level, BMI, physical activity, smoking status, cigarette pack-years, US Census region, neighborhood socioeconomic deprivation (ADI)","","1.09",""
"Skinner_2024_JAGS","Skinner","2024","J Am Geriatr Soc","USA","10.1111/jgs.18726","Cohort study (Women’s Health Initiative ancillary studies)","3988.0","","Psychosocial stress","Stressful life events (SLEs) burden over past year (dichotomized low 0-2 vs high 3-33)","Self-reported questionnaire","GrimAge; DNAmTL","Epigenetic age acceleration (GrimAge acceleration and DNAmTL)","Regression coefficient (β)","0.34","0.08","0.59","","0.01","Adjusted for chronological age, income, education level, marriage status, BMI, genetic ancestry principal components, DNAm-estimated blood cell proportions; GrimAge model not adjusted for smoking","Income, education level, marriage status, BMI, genetic ancestry principal components, DNAm-estimated blood cell proportions","Fixed effects inverse-variance weighted meta-analysis across WHI ancillary studies and race/ethnicity strata","0.34",""
"Suglia_2024","Suglia","2024","Psychosomatic Medicine","USA","10.1097/PSY.0000000000001284","prospective cohort","359.0","50.0","psychosocial stressors","total life stress; childhood stress; adulthood stress (economic, traumatic, relational, discrimination)","cumulative life course stress","GrimAge; DunedinPACE; Skin & Blood; Horvath; Hannum; PhenoAge","age acceleration residuals (GrimAge, DunedinPACE, Skin & Blood)","beta coefficient","0.488","","","0.156","0.002","adjusted for sex, race, smoking status","sex, race, smoking status, cell composition (sensitivity analyses), batch effects (sensitivity analyses)","standardized stress scores (mean=0, SD=1); epigenetic age acceleration residuals from regressing chronological age on epigenetic age","0.488","0.156"
"nihms-1971594","Thomas","2024","Ann Neurol","USA","10.1002/ana.26900","prospective cohort","1644.0","69.6","diet","MIND diet score (average over 4 visits spanning 1991-2008)","long-term dietary adherence","DunedinPACE epigenetic clock","standardized DunedinPACE (mean=0, SD=1)","absolute difference in dementia cases per 10,000 person-years","-33.6","-55.6","-11.7","","0.05","adjusted for age, sex, total energy intake, DNA methylation processing facility","age, sex, total energy intake, DNA methylation processing facility; sensitivity analyses additionally adjusted for education, marital status, APOEε4 status, physical activity, BMI, smoking status, cardiovascular disease, diabetes, blood cell composition","","-33.6",""
"nihms-1999636","Banker","2024","Med Sci Sports Exerc","Mexico","10.1249/MSS.0000000000003498","cross-sectional","472.0","14.5","Sleep and physical activity behavior clusters","Clusters: Short sleep/high sedentary; Adequate sleep duration and late timing/low MVPA; Adequate sleep duration/high MVPA (reference)","behavioral cluster","GrimAge; Wu pediatric clock; Age Acceleration Residual; IEAA","epigenetic age acceleration residuals","beta coefficient","0.63","0.07","1.19","","0.0167","Adjusted for cell types, sex, maternal education, socioeconomic status, pubertal status, BMI z-score","cell types (naïve CD8 T cells, CD4+ T cells, granulocytes), sex, maternal education, socioeconomic status, pubertal status, BMI z-score","Epigenetic age residuals calculated by regressing epigenetic age clocks on chronological age; DNA methylation measured by Infinium MethylationEPIC array; epigenetic clocks calculated using New Methylation Age Calculator and methylclock R package","0.63",""
"nihms-2000413","Markon","2024","Soc Sci Med","United States","10.1016/j.socscimed.2024.116990","Longitudinal observational cohort study","1310.0","51.03","Socioeconomic status and psychosocial stress","Education, mean household income, net assets, general social stress, inequality stress, financial stress, discrimination stress","Objective (education, income, assets) and subjective (social stress subtypes)","Horvath, Hannum, PhenoAge, GrimAge Version 2, DunedinPACE","Two factor scores derived from epigenetic clocks: State-Predictive and Decline-Predictive","Standardized beta coefficient","-0.121","","","","0.001","Adjusted for chronological age, age squared, gender, tobacco use frequency and amount, alcohol use frequency and amount, BMI, sleep quality, cognitive status, methylation assay well plate, race; income variance models additionally controlled for mean income; twin pair ID clustering accounted for","Chronological age, age squared, gender, tobacco use, alcohol use, BMI, sleep quality, cognitive status, methylation assay well plate, race, polygenic index for educational attainment (in sensitivity analysis)","Epigenetic age acceleration factor scores derived from exploratory factor analysis of multiple epigenetic clocks","-0.121",""
"nihms-2084935","Kurbanov","2025","Am J Physiol Lung Cell Mol Physiol","Belgium","10.1152/ajplung.00171.2024","cross-sectional","16.0","70.0","Idiopathic Pulmonary Fibrosis severity","IPF disease status and severity groups (IPF1 early-stage, IPF2 progressive, IPF3 advanced fibrosis)","disease severity","Horvath, Hannum, PhenoAge, GrimAge, GrimAge2, AltumAge, DunedinPACE","epigenetic age acceleration residuals from regression on chronological age","mean difference in epigenetic age acceleration (years) or estimate difference (DunedinPACE)","4.1","","","2","0.03","linear mixed-effects model with disease state or severity group as fixed effect and random intercepts for subject","technical and biological factors correlated with principal components; smoking status included but limited; sex restricted to males","","4.1","2.0"
"nihms858985","Nwanaji-Enwerem","2017","Environmental International","USA","10.1016/j.envint.2016.12.024","longitudinal cohort","552.0","74.7","Air pollution","PM2.5 component species (sulfate, ammonium, organic carbon, nitrate, elemental carbon)","1-year average ambient exposure","Horvath and Hannum DNA methylation age clocks","Horvath DNAm-age","beta coefficient (years increase in DNAm-age per IQR increase in exposure)","0.51","0.28","0.74","","0.0001","Fully adjusted multiple-species linear mixed effects model with adaptive LASSO selection, adjusted for chronological age, blood cell types, temperature, smoking, season, BMI, alcohol intake, education, and PM2.5 mass","chronological age, plasma cells, CD4+ lymphocytes, CD8+ lymphocytes, natural killer cells, monocytes, granulocytes, average 1-year temperature, cumulative cigarette pack years, smoking status (current/former/never), season of visit, BMI category (lean/overweight/obese), alcohol intake (yes/no ≥2 drinks daily), maximum years of education, PM2.5 mass","Horvath online calculator for DNAm-age; adaptive LASSO for species selection","0.51",""
"nihpp-2024.08.21.24312373v2","Angelico Mendy","2024","medRxiv","USA","10.1101/2024.08.21.24312373","prospective cohort","2105.0","63.96","epigenetic age acceleration and pace of aging","EAA from Horvath, Hannum, SkinBlood, Pheno, Zhang, Lin, Weidner, Vidal-Bralo, GrimAge2 clocks; DunedinPoAm pace of aging","biological age acceleration measured by DNA methylation clocks","Horvath; Hannum; SkinBlood; Pheno; Zhang; Lin; Weidner; Vidal-Bralo; GrimAge2; DunedinPoAm","residuals of epigenetic age regressed on chronological age (per 5-year increase for EAA; per 10% increase for DunedinPoAm)","hazard ratio","1.5","1.32","1.71","","0.0001","adjusted for chronological age, poverty income ratio, pack-years of cigarette smoking, white blood cell composition (continuous); gender, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension (categorical)","chronological age, PIR, pack-years smoking, WBC composition, gender, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension","EAA calculated as residuals from regression of epigenetic age on chronological age","0.4055",""
"nutrients-17-01409","Von Holle","2025","Nutrients","USA","10.3390/nu17091409","cross-sectional analysis within a prospective cohort","1260.0","56.0","body iron status","serum ferritin; serum iron; transferrin saturation","serum biomarkers","DNA methylation-based epigenetic clocks (GrimAgeAccel, PhenoAgeAccel, DunedinPACE)","epigenetic age acceleration residuals for GrimAge and PhenoAge; DunedinPACE biomarker","standardized regression coefficient","0.06","0.01","0.11","","0.001","adjusted for smoking status, educational attainment, alcohol use, body mass index, time since menopause, menopausal status, Healthy Eating Index (HEI-2015) Total Score, and physical activity","smoking status (current, former, never); education (high school or less, some college/associate, bachelor's, graduate); alcohol use (former/never, current); BMI (continuous); time since menopause (continuous, interaction with menopausal status); menopausal status (yes/no); HEI-2015 Total Score; hours of physical activity per week","standardization of exposures and outcomes (mean=0, SD=1)","0.06",""
"pnas.202215840","Jessica D. Faul","2023","PNAS","USA","10.1073/pnas.2215840120","population-based panel study","3581.0","68.25","Epigenetic age acceleration","Horvath, Hannum, PhenoAge, GrimAge, DunedinPACE clocks (original and PC-trained)","DNA methylation-based epigenetic clocks","Horvath (2013), Hannum (2013), PhenoAge (2018), GrimAge (2019), DunedinPACE (2022)","Age acceleration residuals (clock value regressed on chronological age); DunedinPACE pace of aging","Regression coefficient or Odds Ratio (OR) for 4-year mortality","1.179","1.131","1.23","","0.001","Adjusted for demographics, SES, health behaviors, and cell-type proportions","Age, sex, race/ethnicity, education, health behaviors (obesity, smoking, heavy drinking), depression, childhood SES, cell-type proportions","PC-trained clocks derived by principal component analysis to reduce technical noise","0.164","0.032"
"s41043-026-01255-4","Chapnick","2026","J Health Popul Nutr","Guatemala","10.1186/s41043-026-01255-4","cross-sectional","1095.0","45.0","cardiometabolic conditions","obesity, diabetes, hypertension, metabolic syndrome","disease status","DunedinPACE; PhenoAge; GrimAge","residuals from regressing epigenetic age on chronological age; DunedinPACE values","beta coefficient","0.09","0.07","0.1","","","adjusted for sex, birth year, sibship clustering","sex, birth year, sibship clustering","","0.09",""
"sciadv.adl3747","Cui","2024","Science Advances","United Kingdom","10.1126/sciadv.adl3747","population-based cohort study","276259.0","56.38","early-life tobacco exposure","in utero tobacco exposure; age of smoking initiation","self-reported tobacco exposure","Klemera-Doubal biological age (KDM-BA); PhenoAge; telomere length","KDM-BA acceleration; PhenoAge acceleration; telomere length percent change","beta coefficient (years for KDM-BA and PhenoAge acceleration; percent change for telomere length)","0.26","0.24","0.29","","0.001","Model 2 adjusted for age at recruitment, sex, ethnicity, and birthplace","age at recruitment, sex, ethnicity, birthplace","","0.26",""
"1-s2.0-S001393512502537X","Yueli Yao","2026","Environmental Research","Germany","10.1016/j.envres.2025.123284","longitudinal cohort","1646.0","53.9","air pollution","PM2.5; PM10; PNC; PMcoarse; PM2.5abs; NO2; NOx; O3","long-term annual average concentrations estimated by land-use regression models","DNAmHorvathAge; DNAmHannumAge; DNAmPhenoAge; DNAmGrimAge; DNAmSkinBloodAge; DNAmTL","age acceleration (difference between epigenetic clock age and chronological age) for all clocks except DNAmTL (native scale, percent change)","absolute change in epigenetic age acceleration per IQR increase in air pollutant concentration","0.12","0.05","0.19","","0.001","full model including age, sex, estimated Houseman cell types, visit indicator, smoking status, alcohol consumption, physical activity, educational attainment, BMI, hypertension, diabetes, HDL, LDL","age, sex, white blood cell proportions (monocytes, natural killer cells, CD4+ T cells, CD8+ T cells, B cells), visit, smoking status, alcohol consumption, physical activity, education, BMI, hypertension, diabetes, HDL, LDL","epigenetic clocks calculated by Horvath's online calculator with imputation for missing CpGs","0.12",""
"1-s2.0-S0013935125025368","Cristy Stagnar","2026","Environmental Research","UK","10.1016/j.envres.2025.123283","case-control","231.0","","paternal smoking","father smoking status (smoking vs non-smoking), predominantly adolescent-onset smoking (<35 years, mostly puberty onset 10-19 years)","behavioral/lifestyle","Bohlin gestational age clock; Horvath clock; Intrinsic Epigenetic Age Acceleration (IEAA); DNAm-based telomere length estimator (DNAmTL)","Intrinsic Epigenetic Age Acceleration (IEAA) residuals","odds ratio","2.4","1.16","4.99","","0.016","Age restricted sample (fathers ≤35 years), no cell-type adjustment for methylation data; no socioeconomic status adjustment; sex stratification performed","sex stratification; paternal age ≤35 years; maternal non-smoking status; no adjustment for socioeconomic status","Age acceleration residuals from linear regression of epigenetic age on gestational or chronological age; DNAmAge and telomere length residuals calculated using Clock Foundation calculators","0.8755",""
"1-s2.0-S0013935125026246","Zuo","2026","Environmental Research","Netherlands","10.1016/j.envres.2025.123371","cross-sectional","1622.0","46.0","occupational pesticide exposure","general pesticides; herbicides; insecticides; fungicides","occupational exposure assessed by ALOHA+ job exposure matrix","Horvath; Hannum; Skin & Blood; PhenoAge; GrimAge; DunedinPACE; DNAmTL","epigenetic age acceleration residuals from regression on chronological age","beta coefficient (years of age acceleration)","1.15","0.18","2.11","","0.05","adjusted for age, sex, education, income, smoking status, co-exposure to dusts and solvents; inverse probability weighting applied","age, sex, education level, income, smoking status, co-exposure to dusts and solvents","ISCO-08 to ISCO-88 codes; ALOHA+ job exposure matrix","1.15",""
"1-s2.0-S0013935125028853","Jilong Bai","2026","Environmental Research","UK","10.1016/j.envres.2025.123632","prospective cohort","343723.0","56.57","residential environment","green space; blue space; natural environment","percentage coverage within 300 m and 1000 m buffers","Phenotypic Age (PhenoAge)","PhenoAge acceleration (residual of PhenoAge regressed on chronological age)","hazard ratio","0.79","0.74","0.85","","0.001","Model B: adjusted for age, sex, ethnicity, education, Townsend Deprivation Index, residential area, BMI, smoking status, alcohol consumption, sedentary time, healthy diet","age, sex, ethnicity, education, Townsend Deprivation Index, residential area, BMI, smoking status, alcohol consumption, sedentary time, healthy diet","","-0.235722",""
"1-s2.0-S027249442500372X","Corley","2026","Journal of Environmental Psychology","Scotland, UK","10.1016/j.jenvp.2025.102889","Longitudinal birth cohort","475.0","79.06","Gardening","Gardening frequency (never/rarely, sometimes, frequently)","Self-reported leisure activity frequency","","Telomere length; DNA methylation-based PhenoAge","Standardized beta coefficient; Hazard ratio","0.142","0.045","0.239","0.049","0.004","Multivariable model adjusted for age, sex, education, occupational social class, living alone, BMI, smoking, cardiovascular disease, stroke, cancer, neighbourhood quality","Age, sex, education, occupational social class, living alone, BMI, smoking status, cardiovascular disease, stroke, cancer, neighbourhood quality, physical activity (in sensitivity analyses)","","0.142","0.049"
"1-s2.0-S0147651325019074","Hua Fang","2026","Ecotoxicology and Environmental Safety","USA","10.1016/j.ecoenv.2025.119562","cross-sectional","3577.0","","environmental toxicants","nicotine metabolites; metals; polyaromatic hydrocarbons (PAHs); perchlorate/nitrate/thiocyanate (P.N.T); volatile organic compound metabolites (VOCs); other compounds","biomarkers of environmental toxicants (urine and blood measurements)","phenotypic age acceleration","phenotypic age acceleration (phenotypic age minus chronological age)","adjusted odds ratio","2.16","1.35","3.45","","0.05","adjusted for age, gender, race, family income-to-poverty ratio, education level, BMI, alcohol consumption, eGFR, survey month, survey cycle","age, gender (male/female), race (Non-Hispanic White/Non-Hispanic Black/Other), family income-to-poverty ratio (quartiles), education level (<High School/High School/>High School), BMI, alcohol consumption (Never/Former/Current), eGFR, survey month, survey cycle","natural logarithmic transformation for toxicants with detection rates ≥70%; dichotomization for others; urine creatinine adjustment for urine samples; hemoglobin adjustment for hemoglobin adducts","0.77",""
"1-s2.0-S0167494325003152","Jian Xu","2026","Archives of Gerontology and Geriatrics","USA","10.1016/j.archger.2025.106058","Cross-sectional analysis of NHANES 2015-2016 data with interpretable machine learning","1693.0","","Environmental chemical mixtures","Blood toluene (B_TOL); urinary benzene metabolite (U_DHB); urinary benzophenone-3 (U_BP3); urinary 1,4-Dichlorobenzene (U_14D); urinary total arsenic (U_tAs); urinary 1-Hydroxynaphthalene (U_1-OH–NAP); urinary Dimethylthiophosphate (U_DMTP)","Chemical biomarker concentrations (blood and urine), log-transformed and creatinine-corrected","Klemera-Doubal Method Biological Age (KDM-BA); PhenoAge","Residuals from linear regression of biological age on chronological age (KDM-BA-Accel and PhenoAge-Accel)","Machine learning model variable importance and interaction effects; linear regression interaction term for diabetes and blood toluene","-2.08","-3.48","-0.68","","0.004","Multivariate linear regression adjusted for age, gender, race/ethnicity, poverty-to-income ratio, education, marital status, smoking status, drinking status, BMI, total energy intake, physical activity, hypertension, diabetes","Age, gender, race/ethnicity, poverty-to-income ratio, education level, marital status, smoking status, drinking status, BMI, total energy intake, physical activity, hypertension, diabetes","Winsorizing biological age metrics at 1st and 99th percentiles; log-transformation of chemical concentrations; creatinine correction for urinary chemicals; multiple imputation for missing covariates","-2.08",""
"1-s2.0-S0168822725010204","Gou","2026","Diabetes Research and Clinical Practice","USA","10.1016/j.diabres.2025.113005","cross-sectional","8354.0","45.86","Urological age (UA); Urological age acceleration (UAA)","UA and UAA as continuous and categorical variables","biological age acceleration markers derived from urinary biomarkers","Urological age (UA) calculated by Klemera-Doubal (KD) method","Urological age acceleration (UAA) = UA - chronological age","Odds Ratio (OR) for MetS-ATP per unit increase in UA and UAA","1.035","1.03","1.04","","0.001","Model 4: Adjusted for Age, Ethnic/race, Marital status, Family income to poverty ratio, Alcohol consumption, Smoking status, Physical activity, Depression","Age, Ethnic/race, Marital status, Family income to poverty ratio, Alcohol consumption, Smoking status, Physical activity, Depression","Klemera-Doubal (KD) method for UA calculation; UAA calculated as UA minus chronological age","0.03466",""
"1-s2.0-S0306453025004111","Chan","2026","Psychoneuroendocrinology","Canada","10.1016/j.psyneuen.2025.107688","community-based cohort","529.0","7.26","biological sex; cotinine concentration; socioeconomic status","biological sex; salivary cotinine concentration; income-to-needs ratio (SES)","biological; biomarker of tobacco smoke exposure; social","Pediatric Buccal (PedBE); Horvath Skin-Blood","Epigenetic Age Acceleration (EAA) calculated with and without cell type adjustment","difference in beta value (Δβ) from EWAS; association coefficients from regression models","","","","","","Models adjusted for age at sample collection, first three genetic principal components, and cell type proportion principal components (from child reference panel)","Age, genetic PCs 1-3, cell type PCs (from child reference panel)","Cell type proportions estimated using child saliva reference panel (Middleton et al., 2022) via EpiDISH; epigenetic age calculated using PedBE and Horvath Skin-Blood clocks","",""
"1-s2.0-S0306453025004275","Rodrigues","2026","Psychoneuroendocrinology","United States","10.1016/j.psyneuen.2025.107704","Observational, cross-sectional analysis of biomarker data from MIDUS cohort","726.0","50.4","Aging anxiety","Declining health anxiety; cumulative aging anxiety","Psychosocial stressor (aging anxiety domains)","GrimAge2; DunedinPACE","Standardized z-scores of epigenetic age acceleration","Standardized beta coefficient (SD change in epigenetic age acceleration per SD increase in anxiety)","0.07","0.01","0.13","","0.05","Model 2: adjusted for sociodemographic factors and chronic health conditions","Age, race/ethnicity, educational attainment, annual household income, marital status, menopausal status, number of chronic health conditions","Noob background correction and normalization of methylation data; z-score standardization of epigenetic age measures","0.07",""
"1-s2.0-S0531556525003468","Hye-Young Park","2026","Experimental Gerontology","South Korea","10.1016/j.exger.2025.113017","Longitudinal cohort study","1452.0","59.7","Metabolic syndrome severity","MetS severity score (0-5 based on diagnostic criteria count)","Continuous","PhenoAge, GrimAge2, DunedinPACE","Epigenetic age acceleration residuals for PhenoAge (PhenoAA), GrimAge2 (Grim2AA), and DunedinPACE (% pace of aging)","Beta coefficient","0.25","0.04","0.47","","0.0214","Adjusted for chronological age, sex, education, smoking status, drinking status, physical activity, BMI, income","Chronological age, sex, education, smoking status, drinking status, physical activity, BMI, income","PhenoAge and GrimAge2 calculated using online age calculator; DunedinPACE calculated using R package DunedinPACE and converted as (DunedinPACE - 1) × 100","0.25",""
"1-s2.0-S0955286325003183","Kawamura","2026","Journal of Nutritional Biochemistry","Japan; Brazil","10.1016/j.jnutbio.2025.110156","Review","","","Nutrients and dietary patterns","Various nutrients (vitamins B2, B6, B9, B12, C, D, E, K; folate; minerals like magnesium, zinc, copper; antioxidants like β-carotene; polyphenols; α-ketoglutarate) and dietary patterns (DASH, HEI, aHEI, aMED, Mediterranean, MIND, low-fat, low-carbohydrate)","Dietary intake and supplementation","Horvath, Hannum, PhenoAge, GrimAge, DunedinPACE, 7-CpG clock, Skin & Blood clock, Bohlin’s clock, InflammAge clock, DNAmTL, TruAge, GrimAge2, DunedinPoAm","Epigenetic age acceleration (EAA) measured by difference or residuals of epigenetic age minus chronological age","Association","","","","","","Varies by study; generally adjusted for age, sex, BMI, lifestyle factors, genetic background, and other covariates","Age, sex, BMI, genetic background (e.g., MTHFR genotype), lifestyle factors, baseline nutritional status","","",""
"1-s2.0-S1279770725002805","Yonghao Li","2026","The Journal of Nutrition, Health and Aging","United Kingdom","10.1016/j.jnha.2025.100755","prospective cohort study","196473.0","","dietary patterns","DASH, MEDAS, MIND dietary pattern adherence scores","dietary pattern scores","phenotypic age acceleration","PhenoAgeAccel residuals","hazard ratio","0.75","0.58","0.96","","0.05","Model 2: adjusted for age, sex, BMI, ethnicity, annual household income, education level, smoking status, alcohol consumption, physical activity, and daily energy intake","age, sex, BMI, ethnicity, annual household income, education level, smoking status, alcohol consumption, physical activity, daily energy intake","","",""
"1-s2.0-S1279770726000011","Zhang","2026","The Journal of Nutrition, Health and Aging","USA","10.1016/j.jnha.2026.100770","Cross-sectional analysis of NHANES data","7209.0","47.37","Volatile organic compounds (VOCs)","Urinary VOC metabolites (CEMA, 3HPMA, DHBMA, MHBMA3, HPMMA, PGA, others)","Biomarker (urinary metabolites)","Phenotypic Age (PhenoAge)","PhenoAge acceleration (difference between biological and chronological age)","Beta coefficient (linear regression)","0.693","","","","0.001","Model 3: adjusted for age, sex, ethnicity, education, marital status, BMI, smoking status, physical activity, hypertension, diabetes, cardiovascular diseases, and total energy intake","Age, sex, ethnicity, education, marital status, BMI, smoking status, physical activity, hypertension, diabetes, cardiovascular diseases, total energy intake","Log-transformation of urinary VOC metabolites; WQS regression for mixture effect","0.693",""
"1-s2.0-S1279770726000060","Shuai Xiang","2026","The Journal of Nutrition, Health and Aging","United Kingdom","10.1016/j.jnha.2026.100775","prospective cohort","292639.0","55.86","PhenoAgeAccel","Phenotypic age acceleration (PhenoAgeAccel) derived from clinical biomarkers","biological aging metric (phenotypic age acceleration)","PhenoAge (phenotypic clock based on clinical biomarkers)","PhenoAgeAccel (residual of PhenoAge regressed on chronological age)","hazard ratio per 5-year increase in PhenoAgeAccel","1.36","1.3","1.42","","0.0001","Model 2: adjusted for chronological age, gender, ethnicity, Townsend deprivation index, BMI, education level, smoking status, alcohol consumption, regular physical activity, acid-inhibitor use, history of hypertension, history of diabetes, comorbidities, genotyping batch, and top 10 genetic principal components","chronological age, gender, ethnicity, Townsend deprivation index, BMI, education level, smoking status, alcohol consumption, physical activity, acid-inhibitor use, hypertension, diabetes, comorbidities, genotyping batch, genetic principal components","PhenoAgeAccel calculated as residual from regression of PhenoAge on chronological age; PhenoAge derived from 9 clinical biomarkers and chronological age using validated algorithm","0.307484",""
"1-s2.0-S1279770726000072","Xinyu Zhang","2026","The Journal of Nutrition, Health and Aging","USA","10.1016/j.jnha.2026.100776","cross-sectional","15050.0","51.0","vitamin intake","mixture of 11 dietary vitamins (A, B1, B2, B3, B6, B9, B12, C, D, E, K); total vitamin intake","dietary intake plus supplements","Klemera-Doubal method biological age (KDM-BA); PhenoAge; homeostatic dysregulation (HD)","KDM-acceleration; PhenoAge-acceleration; HD","beta coefficient (linear regression)","-1.281","-2.033","-0.53","","0.001","Model 4: adjusted for age, sex, race, educational level, marital status, poverty income ratio, BMI, smoking status, alcohol consumption, physical activity level, daily energy intake, supplement use, comorbidity","age, sex, race, educational level, marital status, poverty income ratio, BMI, smoking status, alcohol consumption, physical activity level, daily energy intake, supplement use, comorbidity (hypertension, diabetes, cardiovascular diseases, cancer)","habitual intake estimated by multiple source method (MSM) using two 24-h dietary recalls; ln-transformed vitamin intake","-1.281",""
"1-s2.0-S1279770726000096","Kai Wei","2026","The Journal of Nutrition, Health and Aging","USA","10.1016/j.jnha.2026.100778","cross-sectional","12806.0","","marijuana use","current marijuana use (past 30 days) vs never use","self-reported marijuana use status","PhenoAge; KD-BioAge","residuals from linear regression of biological age on chronological age (PhenoAgeAccel, KD-BioAgeAccel)","regression coefficient (β)","0.72","0.41","1.02","","0.001","fully adjusted model controlling for demographic, socioeconomic, lifestyle, and clinical factors","age, sex, race/ethnicity, marital status, education, family income, smoking, alcohol consumption, illicit drug use, physical activity, cardiovascular diseases, hypertension, diabetes, arthritis, cancer, prescription medicines use","","0.72",""
"Pisarek-Pacek_2026_ForSpEC","Pisarek-Pacek","2026","Forensic Science International: Genetics","Poland","10.1016/j.fsigen.2026.103426","observational, epigenetic clock development and validation","212.0","35.0","DNA methylation","DNA methylation at 7 CpG sites (ForSpEC model)","epigenetic markers","ForSpEC (Forensic Sperm Epigenetic Clock)","epigenetic age acceleration (difference between predicted and chronological age)","mean absolute error (MAE)","3.13","","","","0.01","multivariable linear regression with stepwise selection","none explicitly reported; model based on methylation beta values of selected CpGs","linear regression model trained on EPIC microarray data; transferred to Ion AmpliSeq™ technology","3.13",""
"1-s2.0-S2090123225002978","Ling-Zhi Ma","2026","Journal of Advanced Research","UK","10.1016/j.jare.2025.05.004","prospective cohort","51904.0","","plasma proteins","2,923 plasma proteins measured by Olink Explore Proximity Extension Assay","proteomic biomarker levels","Klemera-Doubal Method Biological Age (KDM-BA), PhenoAge","PhenoAge acceleration, KDM-BA acceleration","regression coefficient (linear and logistic), hazard ratio (Cox regression)","","","","","1.9e-06","adjusted for baseline chronological age, sex, ethnicity, Townsend deprivation index, education level, smoking status, alcohol status","chronological age, sex, ethnicity, Townsend deprivation index, education level, smoking status, alcohol status","","",""
"1-s2.0-S2589004225026446","Yu","2026","iScience","Sweden","10.1016/j.isci.2025.114383","longitudinal repeated-measurement cohort","807.0","25.9","ambient temperature","short-term ambient temperature exposure (daily individual-address level)","environmental","inflammation-related proteomic aging clock","proteomic age acceleration","mean difference","0.05","0.03","0.1","","0.001","adjusted for age, sex, long time trend (natural spline with 6 df), phases, day of week, season, history of SARS-CoV-2 infection, vaccination status","age, sex, long time trend, phases, day of week, season, SARS-CoV-2 infection history, vaccination status","","0.05",""
